,Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Month,Day,Hour,result
3171,3,1,0,130,130,39,6,6,11,0
450,2,1,2,0,0,45,18,6,19,0
3588,5,0,0,340,340,65,27,1,1,0
2311,1,1,2,90,90,77,25,2,11,0
4136,4,0,1,110,110,55,7,6,12,0
146,3,0,0,180,180,62,4,6,8,0
2873,2,1,2,0,0,87,20,1,10,0
1823,5,1,0,300,300,46,2,1,1,0
3983,3,1,0,150,150,75,7,6,2,0
2261,0,1,0,330,330,93,6,6,14,0
1629,4,1,1,110,110,88,22,1,12,0
3936,1,0,2,100,100,50,11,6,20,0
2347,2,1,2,0,0,83,17,1,22,0
1312,5,0,0,340,340,66,9,6,10,0
3088,0,0,0,290,290,60,16,6,14,0
3592,0,0,0,340,340,60,25,3,15,0
245,0,1,0,350,350,93,14,2,8,0
4468,1,0,2,70,70,65,6,2,0,0
159,4,1,1,160,160,79,17,5,22,0
3412,2,1,2,0,0,96,6,1,7,0
4296,6,0,1,120,120,44,27,6,10,0
2197,3,1,0,145,145,76,16,4,14,0
1352,1,0,2,100,100,67,26,4,17,0
3953,6,1,1,130,130,82,14,1,19,0
2022,3,0,0,145,145,58,30,3,10,0
4478,6,0,1,120,120,55,27,1,11,0
2333,2,1,2,0,0,89,13,1,15,0
684,4,0,1,100,100,52,19,0,3,0
483,0,1,0,350,350,84,20,4,12,0
4855,5,1,0,330,330,77,25,0,16,0
801,5,1,0,290,290,67,11,1,10,0
771,1,1,2,60,60,67,15,5,15,0
2205,0,1,0,330,330,79,26,2,8,0
2652,4,0,1,160,160,70,22,4,9,0
16,2,1,2,0,0,62,22,0,16,0
1451,2,1,2,0,0,99,5,5,2,0
3043,6,1,1,110,110,45,19,6,16,0
603,1,1,2,60,60,50,28,2,11,0
4413,2,1,2,0,0,60,13,1,15,0
1273,3,1,0,150,150,96,1,2,12,0
4937,1,1,2,90,90,93,22,6,13,0
3449,6,1,1,110,110,56,8,6,3,0
2393,3,1,0,145,145,91,2,1,8,0
3404,1,0,2,60,60,88,22,4,4,0
3337,6,1,1,110,110,90,9,3,5,0
4982,6,0,1,125,125,61,25,4,12,0
4444,4,0,1,110,110,57,24,1,14,0
2,2,1,2,0,0,53,8,0,18,0
376,4,0,1,160,160,68,3,2,16,0
191,2,1,2,0,0,90,21,2,11,0
1321,4,1,1,120,120,92,18,1,6,0
1172,5,0,0,340,340,45,29,6,13,0
3557,0,1,0,340,340,91,25,0,13,0
4270,3,0,0,140,140,49,13,1,17,0
3311,3,1,0,130,130,76,19,1,22,0
4175,2,1,2,0,0,75,31,2,14,0
