,Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Month,Day,Hour,result
4344,5,0,0,300,300,53,28,1,6,0
4005,0,1,0,300,300,63,7,6,6,0
747,4,1,1,100,100,21,23,0,9,0
1230,4,0,1,120,120,59,23,5,13,0
3656,1,0,2,100,100,58,2,1,19,0
3524,2,1,2,0,0,52,18,1,7,0
4194,0,0,0,300,300,79,18,1,20,0
3330,6,0,1,110,110,45,15,6,20,0
4796,0,0,0,330,330,69,25,1,16,0
1365,0,1,0,340,340,77,8,3,23,0
2673,4,1,1,160,160,91,7,3,21,0
3463,6,1,1,110,110,89,25,6,2,0
3286,2,1,2,0,0,67,5,1,0,0
4191,6,1,1,120,120,63,30,0,22,0
380,2,1,2,0,0,56,7,6,14,0
1312,5,0,0,340,340,66,9,6,10,0
76,3,0,0,180,180,69,23,4,21,0
2760,1,0,2,120,120,53,20,1,7,0
3509,1,1,2,100,100,79,3,1,16,0
2668,0,0,0,350,350,62,15,3,16,0
3917,5,1,0,340,340,80,29,5,15,0
4660,6,0,1,125,125,45,11,4,12,0
1913,2,1,2,0,0,60,11,4,1,0
4083,1,1,2,70,70,77,7,1,11,0
4744,6,0,1,125,125,57,6,4,14,0
4041,1,1,2,70,70,78,14,4,9,0
1214,5,0,0,340,340,62,9,6,23,0
4623,2,1,2,0,0,76,20,0,16,0
2341,5,1,0,330,330,85,6,3,9,0
358,1,0,2,120,120,47,7,3,6,0
2356,6,0,1,125,125,64,14,2,18,0
2726,2,1,2,0,0,69,29,2,11,0
4950,0,0,0,330,330,54,2,6,22,0
2656,2,1,2,0,0,65,30,3,23,0
2532,6,0,1,140,140,66,27,1,19,0
350,0,0,0,350,350,62,30,2,16,0
2045,1,1,2,90,90,81,22,5,11,0
4218,5,0,0,300,300,42,21,6,7,0
2245,4,1,1,115,115,83,19,2,2,0
851,6,1,1,110,110,98,4,2,12,0
4100,6,0,1,120,120,70,22,1,9,0
4917,2,1,2,0,0,80,15,1,15,0
3071,6,1,1,110,110,57,8,5,16,0
1855,0,1,0,300,300,48,6,1,4,0
2004,2,1,2,0,0,48,12,6,22,0
3728,5,0,0,340,340,47,24,1,2,0
257,4,1,1,160,160,84,26,0,18,0
2248,1,0,2,90,90,46,17,2,9,0
4872,3,0,0,145,145,70,10,1,14,0
4879,3,1,0,145,145,79,6,0,3,0
1438,5,0,0,340,340,65,22,6,18,0
3142,4,0,1,100,100,45,1,0,21,0
4583,6,1,1,125,125,87,10,2,23,0
4193,3,1,0,140,140,74,3,0,5,0
2427,4,1,1,115,115,82,27,6,12,0
1600,6,0,1,120,120,70,17,1,16,0
3636,2,1,2,0,0,73,23,1,22,0
2934,0,0,0,350,350,68,23,1,3,0
2210,4,0,1,115,115,60,28,0,19,0
2625,3,1,0,180,180,92,26,0,1,0
2106,3,0,0,145,145,48,28,2,10,0
2662,1,0,2,120,120,44,11,1,19,0
466,6,0,1,140,140,61,3,1,3,0
3513,4,1,1,120,120,78,11,0,6,0
3319,0,1,0,290,290,98,25,3,22,0
446,4,0,1,160,160,59,14,2,23,0
3328,2,1,2,0,0,98,18,6,13,0
2887,2,1,2,0,0,88,15,3,9,0
3042,5,0,0,290,290,44,4,5,1,0
2070,4,0,1,115,115,65,11,3,16,0
3644,5,0,0,340,340,71,10,6,2,0
3069,2,1,2,0,0,60,4,6,9,0
2619,0,1,0,350,350,78,17,0,4,0
2158,2,1,2,0,0,66,30,1,3,0
2031,1,1,2,90,90,95,8,5,21,0
1689,2,1,2,0,0,75,30,0,15,0
2058,0,0,0,330,330,45,6,5,1,0
3753,0,1,0,340,340,88,22,4,3,0
2574,6,0,1,140,140,56,24,2,20,0
4298,3,0,0,140,140,54,30,5,17,0
