,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,result
1402,1,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,0
3263,2,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,0
3872,2,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,0
2956,2,0.675,0.51,0.17,1.527,0.809,0.318,0.341,0
3210,1,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,0
73,0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,0
2341,2,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,0
917,0,0.58,0.45,0.155,0.93,0.385,0.246,0.265,0
851,1,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,0
1289,1,0.575,0.425,0.135,0.7965,0.364,0.196,0.239,0
2833,2,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,0
1336,2,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,0
555,2,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,0
306,2,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,0
1330,0,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,0
2386,1,0.435,0.325,0.105,0.335,0.136,0.065,0.115,0
1458,1,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,0
818,0,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,0
3237,2,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,0
84,0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,0
453,0,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,0
3581,2,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,0
3527,2,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,0
1451,1,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,0
621,0,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,0
1677,2,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,0
1431,2,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,0
1465,1,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,0
258,2,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,0
3169,1,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,0
3360,0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,0
1531,0,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,0
2714,2,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,0
181,0,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,0
70,2,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,0
219,2,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,0
1911,1,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,0
1660,1,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,0
3302,1,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,0
2859,0,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,0
3921,1,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,0
548,1,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,0
2481,0,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,0
1567,1,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,0
1108,0,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,0
2353,2,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,0
1521,0,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,0
4173,2,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,0
246,2,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,0
3089,0,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,0
752,1,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,0
1209,1,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,0
93,1,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,0
4042,2,0.625,0.47,0.175,1.179,0.605,0.258,0.271,0
158,0,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,0
1054,1,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,0
3318,1,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,0
1841,0,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,0
3206,2,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,0
1094,2,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,0
4130,0,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,0
2712,2,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,0
1471,1,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,0
1803,0,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,0
3517,2,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,0
2086,1,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,0
2602,2,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,0
3702,0,0.67,0.55,0.155,1.566,0.858,0.339,0.354,0
1593,2,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,0
2204,2,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,0
1553,2,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,0
2023,0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,0
3438,2,0.59,0.455,0.145,1.073,0.475,0.19,0.285,0
3854,0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,0
2975,0,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,0
3370,2,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,0
594,2,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,0
1542,2,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,0
2738,1,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,0
2246,0,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,0
3966,1,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,0
3074,0,0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,0
2647,1,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,0
3614,0,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,0
2736,2,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,0
836,0,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,0
3406,2,0.605,0.49,0.18,1.227,0.48,0.287,0.35,0
616,0,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,0
2494,1,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,0
4082,0,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,0
1633,1,0.55,0.42,0.115,0.668,0.2925,0.137,0.209,0
1109,2,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,0
794,0,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,0
481,1,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,0
3500,0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,0
2935,0,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,0
1491,1,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,0
1861,0,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,0
2266,0,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,0
150,1,0.355,0.275,0.085,0.22,0.092,0.06,0.15,0
