,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,negative
1,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,negative
2,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,negative
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,negative
4,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,negative
5,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,negative
6,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,negative
7,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,negative
8,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,negative
9,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,negative
10,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,negative
11,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,negative
12,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,negative
13,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,negative
14,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,negative
15,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,negative
16,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,negative
17,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,negative
18,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,negative
19,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,negative
20,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,negative
21,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,negative
22,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,positive
23,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,negative
24,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,negative
25,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,negative
26,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,negative
27,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,negative
28,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,negative
29,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,negative
30,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,negative
31,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,negative
