,buying,maint,doors,persons,lug_boot,safety,result
535,2,3,5,6,1,1,0
159,3,2,3,6,2,0,0
467,2,3,3,2,2,2,0
527,2,3,5,4,1,2,0
952,1,3,5,2,2,1,0
169,3,2,4,2,2,1,0
277,3,1,4,2,2,1,0
1082,1,1,2,2,0,2,0
1676,0,0,4,2,0,2,0
1571,0,1,4,2,1,2,0
1512,0,1,2,2,0,0,0
717,2,1,4,4,2,0,0
1065,1,2,5,4,1,0,0
275,3,1,4,2,1,2,0
237,3,1,2,6,1,0,0
1649,0,0,3,2,0,2,0
1705,0,0,5,2,1,1,0
449,2,3,2,4,2,2,0
355,3,0,3,2,1,1,0
1182,1,1,5,6,1,0,0
1599,0,1,5,2,2,0,0
488,2,3,4,2,0,2,0
193,3,2,5,2,1,1,0
885,1,3,2,6,1,0,0
460,2,3,3,2,0,1,0
492,2,3,4,2,2,0,0
333,3,0,2,4,0,0,0
600,2,2,4,2,2,0,0
291,3,1,4,6,1,0,0
868,1,3,2,2,1,1,0
43,3,3,3,4,2,1,0
633,2,2,5,4,1,0,0
1290,1,0,5,6,1,0,0
1381,0,3,5,2,1,1,0
864,1,3,2,2,0,0,0
383,3,0,4,2,1,2,0
1055,1,2,5,2,0,2,0
142,3,2,3,2,2,1,0
221,3,1,2,2,1,2,0
814,2,0,4,2,1,1,0
74,3,3,4,6,0,2,0
39,3,3,3,4,1,0,0
502,2,3,4,4,2,1,0
309,3,1,5,4,1,0,0
497,2,3,4,4,0,2,0
788,2,0,3,2,1,2,0
218,3,1,2,2,0,2,0
1566,0,1,4,2,0,0,0
37,3,3,3,4,0,1,0
1206,1,0,2,6,0,0,0
504,2,3,4,6,0,0,0
1519,0,1,2,2,2,1,0
1409,0,2,2,2,1,2,0
1455,0,2,3,6,2,0,0
953,1,3,5,2,2,2,0
1100,1,1,2,6,0,2,0
301,3,1,5,2,1,1,0
528,2,3,5,4,2,0,0
2,3,3,2,2,0,2,0
16,3,3,2,4,2,1,0
1188,1,0,2,2,0,0,0
975,1,2,2,2,1,0,0
562,2,2,2,6,1,1,0
1452,0,2,3,6,1,0,0
1351,0,3,4,2,0,1,0
1641,0,0,2,6,1,0,0
518,2,3,5,2,1,2,0
1679,0,0,4,2,1,2,0
423,3,0,5,6,0,0,0
1217,1,0,3,2,0,2,0
463,2,3,3,2,1,1,0
179,3,2,4,4,2,2,0
1146,1,1,4,4,1,0,0
629,2,2,5,2,2,2,0
70,3,3,4,4,2,1,0
344,3,0,2,6,0,2,0
1517,0,1,2,2,1,2,0
1386,0,3,5,4,0,0,0
1095,1,1,2,4,2,0,0
411,3,0,5,2,2,0,0
909,1,3,3,6,0,0,0
1627,0,0,2,2,2,1,0
768,2,0,2,4,1,0,0
1320,0,3,2,6,2,0,0
568,2,2,3,2,0,1,0
1212,1,0,2,6,2,0,0
1254,1,0,4,4,1,0,0
1431,0,2,3,2,0,0,0
1149,1,1,4,4,2,0,0
53,3,3,3,6,2,2,0
360,3,0,3,4,0,0,0
145,3,2,3,4,0,1,0
163,3,2,4,2,0,1,0
1677,0,0,4,2,1,0,0
35,3,3,3,2,2,2,0
459,2,3,3,2,0,0,0
1034,1,2,4,2,2,2,0
1466,0,2,4,2,2,2,0
1230,1,0,3,4,2,0,0
1185,1,1,5,6,2,0,0
1449,0,2,3,6,0,0,0
44,3,3,3,4,2,2,0
194,3,2,5,2,1,2,0
34,3,3,3,2,2,1,0
922,1,3,4,2,1,1,0
653,2,1,2,2,1,2,0
442,2,3,2,4,0,1,0
305,3,1,5,2,2,2,0
346,3,0,2,6,1,1,0
358,3,0,3,2,2,1,0
693,2,1,3,6,0,0,0
1539,0,1,3,2,0,0,0
483,2,3,3,6,2,0,0
955,1,3,5,4,0,1,0
624,2,2,5,2,1,0,0
761,2,0,2,2,1,2,0
58,3,3,4,2,1,1,0
1488,0,2,5,2,1,0,0
517,2,3,5,2,1,1,0
1598,0,1,5,2,1,2,0
345,3,0,2,6,1,0,0
458,2,3,2,6,2,2,0
766,2,0,2,4,0,1,0
623,2,2,5,2,0,2,0
774,2,0,2,6,0,0,0
807,2,0,3,6,2,0,0
318,3,1,5,6,1,0,0
214,3,2,5,6,2,1,0
1515,0,1,2,2,1,0,0
1547,0,1,3,2,2,2,0
1354,0,3,4,2,1,1,0
412,3,0,5,2,2,1,0
82,3,3,5,2,0,1,0
1003,1,2,3,2,1,1,0
1315,0,3,2,6,0,1,0
445,2,3,2,4,1,1,0
990,1,2,2,6,0,0,0
682,2,1,3,2,2,1,0
93,3,3,5,4,1,0,0
396,3,0,4,6,0,0,0
297,3,1,5,2,0,0,0
440,2,3,2,2,2,2,0
524,2,3,5,4,0,2,0
1532,0,1,2,6,0,2,0
541,2,2,2,2,0,1,0
85,3,3,5,2,1,1,0
236,3,1,2,6,0,2,0
1027,1,2,4,2,0,1,0
1247,1,0,4,2,1,2,0
603,2,2,4,4,0,0,0
1284,1,0,5,4,2,0,0
454,2,3,2,6,1,1,0
270,3,1,4,2,0,0,0
1080,1,1,2,2,0,0,0
817,2,0,4,2,2,1,0
276,3,1,4,2,2,0,0
288,3,1,4,6,0,0,0
666,2,1,2,6,0,0,0
26,3,3,2,6,2,2,0
606,2,2,4,4,1,0,0
1570,0,1,4,2,1,1,0
672,2,1,2,6,2,0,0
439,2,3,2,2,2,1,0
33,3,3,3,2,2,0,0
307,3,1,5,4,0,1,0
627,2,2,5,2,2,0,0
753,2,1,5,6,2,0,0
1143,1,1,4,4,0,0,0
331,3,0,2,2,2,1,0
1601,0,1,5,2,2,2,0
769,2,0,2,4,1,1,0
1208,1,0,2,6,0,2,0
8,3,3,2,2,2,2,0
819,2,0,4,4,0,0,0
571,2,2,3,2,1,1,0
588,2,2,3,6,1,0,0
1113,1,1,3,2,2,0,0
1122,1,1,3,4,2,0,0
560,2,2,2,6,0,2,0
206,3,2,5,4,2,2,0
1111,1,1,3,2,1,1,0
954,1,3,5,4,0,0,0
639,2,2,5,6,0,0,0
982,1,2,2,4,0,1,0
487,2,3,4,2,0,1,0
930,1,3,4,4,1,0,0
1270,1,0,5,2,0,1,0
730,2,1,5,2,0,1,0
1434,0,2,3,2,1,0,0
1200,1,0,2,4,1,0,0
945,1,3,5,2,0,0,0
248,3,1,3,2,1,2,0
49,3,3,3,6,1,1,0
1713,0,0,5,4,1,0,0
9,3,3,2,4,0,0,0
244,3,1,3,2,0,1,0
849,2,0,5,4,1,0,0
1088,1,1,2,2,2,2,0
472,2,3,3,4,1,1,0
704,2,1,4,2,0,2,0
918,1,3,4,2,0,0,0
88,3,3,5,2,2,1,0
574,2,2,3,2,2,1,0
1335,0,3,3,4,1,0,0
42,3,3,3,4,2,0,0
729,2,1,5,2,0,0,0
1608,0,1,5,4,2,0,0
505,2,3,4,6,0,1,0
1005,1,2,3,2,2,0,0
1656,0,0,3,4,0,0,0
858,2,0,5,6,1,0,0
146,3,2,3,4,0,2,0
50,3,3,3,6,1,2,0
304,3,1,5,2,2,1,0
1575,0,1,4,4,0,0,0
1163,1,1,5,2,0,2,0
748,2,1,5,6,0,1,0
509,2,3,4,6,1,2,0
511,2,3,4,6,2,1,0
278,3,1,4,2,2,2,0
170,3,2,4,2,2,2,0
1704,0,0,5,2,1,0,0
539,2,3,5,6,2,2,0
1506,0,2,5,6,1,0,0
1068,1,2,5,4,2,0,0
282,3,1,4,4,1,0,0
143,3,2,3,2,2,2,0
1098,1,1,2,6,0,0,0
1221,1,0,3,2,2,0,0
1611,0,1,5,6,0,0,0
387,3,0,4,4,0,0,0
452,2,3,2,6,0,2,0
1436,0,2,3,2,1,2,0
168,3,2,4,2,2,0,0
1131,1,1,3,6,2,0,0
861,2,0,5,6,2,0,0
1057,1,2,5,2,1,1,0
950,1,3,5,2,1,2,0
48,3,3,3,6,1,0,0
550,2,2,2,4,0,1,0
960,1,3,5,4,2,0,0
777,2,0,2,6,1,0,0
444,2,3,2,4,1,0,0
267,3,1,3,6,2,0,0
651,2,1,2,2,1,0,0
62,3,3,4,2,2,2,0
1543,0,1,3,2,1,1,0
133,3,2,2,6,2,1,0
1531,0,1,2,6,0,1,0
1061,1,2,5,2,2,2,0
1053,1,2,5,2,0,0,0
1461,0,2,4,2,1,0,0
122,3,2,2,4,1,2,0
1189,1,0,2,2,0,1,0
356,3,0,3,2,1,2,0
1542,0,1,3,2,1,0,0
1533,0,1,2,6,1,0,0
29,3,3,3,2,0,2,0
1617,0,1,5,6,2,0,0
30,3,3,3,2,1,0,0
1518,0,1,2,2,2,0,0
149,3,2,3,4,1,2,0
174,3,2,4,4,1,0,0
1464,0,2,4,2,2,0,0
1425,0,2,2,6,1,0,0
1036,1,2,4,4,0,1,0
