,buying,maint,doors,persons,lug_boot,safety,result
1549,0,1,3,4,0,1,1
1658,0,0,3,4,0,2,1
227,3,1,2,4,0,2,1
1049,1,2,4,6,1,2,1
1040,1,2,4,4,1,2,1
1636,0,0,2,4,2,1,1
389,3,0,4,4,0,2,1
692,2,1,3,4,2,2,1
1346,0,3,3,6,1,2,1
881,1,3,2,4,2,2,1
1576,0,1,4,4,0,1,1
1103,1,1,2,6,1,2,1
1090,1,1,2,4,0,1,1
1364,0,3,4,4,1,2,1
1294,1,0,5,6,2,1,1
1555,0,1,3,4,2,1,1
929,1,3,4,4,0,2,1
341,3,0,2,4,2,2,1
1132,1,1,3,6,2,1,1
1037,1,2,4,4,0,2,1
932,1,3,4,4,1,2,1
1558,0,1,3,6,0,1,1
619,2,2,4,6,2,1,1
1201,1,0,2,4,1,1,1
1559,0,1,3,6,0,2,1
551,2,2,2,4,0,2,1
836,2,0,4,6,2,2,1
295,3,1,4,6,2,1,1
260,3,1,3,4,2,2,1
1612,0,1,5,6,0,1,1
1367,0,3,4,4,2,2,1
1510,0,2,5,6,2,1,1
1529,0,1,2,4,2,2,1
1292,1,0,5,6,1,2,1
1477,0,2,4,6,0,1,1
1066,1,2,5,4,1,1,1
1669,0,0,3,6,1,1,1
1232,1,0,3,4,2,2,1
1148,1,1,4,4,1,2,1
1528,0,1,2,4,2,1,1
746,2,1,5,4,2,2,1
1666,0,0,3,6,0,1,1
1403,0,3,5,6,2,2,1
1043,1,2,4,4,2,2,1
673,2,1,2,6,2,1,1
394,3,0,4,4,2,1,1
1153,1,1,4,6,0,1,1
686,2,1,3,4,0,2,1
821,2,0,4,4,0,2,1
854,2,0,5,4,2,2,1
1262,1,0,4,6,0,2,1
1225,1,0,3,4,0,1,1
1211,1,0,2,6,1,2,1
1550,0,1,3,4,0,2,1
1610,0,1,5,4,2,2,1
1120,1,1,3,4,1,1,1
1046,1,2,4,6,0,2,1
691,2,1,3,4,2,1,1
230,3,1,2,4,1,2,1
1468,0,2,4,4,0,1,1
1265,1,0,4,6,1,2,1
826,2,0,4,4,2,1,1
1480,0,2,4,6,1,1,1
319,3,1,5,6,1,1,1
902,1,3,3,4,0,2,1
554,2,2,2,4,1,2,1
1604,0,1,5,4,0,2,1
1499,0,2,5,4,1,2,1
1631,0,0,2,4,0,2,1
403,3,0,4,6,2,1,1
913,1,3,3,6,1,1,1
1444,0,2,3,4,1,1,1
1289,1,0,5,6,0,2,1
1451,0,2,3,6,0,2,1
1013,1,2,3,4,1,2,1
265,3,1,3,6,1,1,1
967,1,3,5,6,1,1,1
1538,0,1,2,6,2,2,1
800,2,0,3,4,2,2,1
362,3,0,3,4,0,2,1
1502,0,2,5,4,2,2,1
589,2,2,3,6,1,1,1
1078,1,2,5,6,2,1,1
998,1,2,2,6,2,2,1
1577,0,1,4,4,0,2,1
1310,0,3,2,4,1,2,1
608,2,2,4,4,1,2,1
697,2,1,3,6,1,1,1
1562,0,1,3,6,1,2,1
799,2,0,3,4,2,1,1
971,1,3,5,6,2,2,1
1618,0,1,5,6,2,1,1
1700,0,0,4,6,2,2,1
287,3,1,4,4,2,2,1
803,2,0,3,6,0,2,1
1415,0,2,2,4,0,2,1
880,1,3,2,4,2,1,1
1376,0,3,4,6,2,2,1
827,2,0,4,4,2,2,1
1427,0,2,2,6,1,2,1
1478,0,2,4,6,0,2,1
1453,0,2,3,6,1,1,1
1252,1,0,4,4,0,1,1
425,3,0,5,6,0,2,1
751,2,1,5,6,1,1,1
1343,0,3,3,6,0,2,1
745,2,1,5,4,2,1,1
563,2,2,2,6,1,2,1
1345,0,3,3,6,1,1,1
1019,1,2,3,6,0,2,1
695,2,1,3,6,0,2,1
1457,0,2,3,6,2,2,1
1645,0,0,2,6,2,1,1
1253,1,0,4,4,0,2,1
1454,0,2,3,6,1,2,1
1235,1,0,3,6,0,2,1
242,3,1,2,6,2,2,1
1171,1,1,5,4,0,1,1
1210,1,0,2,6,1,1,1
308,3,1,5,4,0,2,1
350,3,0,2,6,2,2,1
1585,0,1,4,6,0,1,1
1106,1,1,2,6,2,2,1
1366,0,3,4,4,2,1,1
1664,0,0,3,4,2,2,1
986,1,2,2,4,1,2,1
890,1,3,2,6,2,2,1
1696,0,0,4,6,1,1,1
1496,0,2,5,4,0,2,1
1258,1,0,4,4,2,1,1
1156,1,1,4,6,1,1,1
1312,0,3,2,4,2,1,1
857,2,0,5,6,0,2,1
1388,0,3,5,4,0,2,1
863,2,0,5,6,2,2,1
860,2,0,5,6,1,2,1
983,1,2,2,4,0,2,1
1319,0,3,2,6,1,2,1
313,3,1,5,4,2,1,1
1583,0,1,4,4,2,2,1
349,3,0,2,6,2,1,1
1363,0,3,4,4,1,1,1
1237,1,0,3,6,1,1,1
1348,0,3,3,6,2,1,1
1481,0,2,4,6,1,2,1
1282,1,0,5,4,1,1,1
752,2,1,5,6,1,2,1
1010,1,2,3,4,0,2,1
1129,1,1,3,6,1,1,1
311,3,1,5,4,1,2,1
587,2,2,3,6,0,2,1
